p_c,R,M,e(pc),col2(pc)
4.073191e-11,3.000000e+01,2.332604e-03,3.121007e-08,9.302143e+02
4.478112e-11,3.000000e+01,2.533938e-03,3.377575e-08,9.303660e+02
4.923286e-11,3.000000e+01,2.708936e-03,3.614101e-08,9.304137e+02
5.412715e-11,3.000000e+01,2.899370e-03,3.874140e-08,9.304662e+02
5.950799e-11,3.000000e+01,3.108058e-03,4.160030e-08,9.305240e+02
6.542375e-11,3.000000e+01,3.336677e-03,4.474340e-08,9.305874e+02
7.192760e-11,3.000000e+01,3.587044e-03,4.819897e-08,9.306572e+02
7.907800e-11,3.000000e+01,3.861123e-03,5.199806e-08,9.307339e+02
8.693924e-11,3.000000e+01,4.161035e-03,5.617482e-08,9.308183e+02
9.558197e-11,3.000000e+01,4.489064e-03,6.076679e-08,9.309110e+02
1.050839e-10,3.000000e+01,4.847668e-03,6.581526e-08,9.310129e+02
1.155304e-10,3.000000e+01,5.239481e-03,7.136561e-08,9.311250e+02
1.270154e-10,3.000000e+01,5.667323e-03,7.746772e-08,9.312482e+02
1.396421e-10,3.000000e+01,6.134201e-03,8.417644e-08,9.313837e+02
1.535241e-10,3.000000e+01,6.643314e-03,9.155209e-08,9.315326e+02
1.687861e-10,3.000000e+01,7.198049e-03,9.966096e-08,9.316964e+02
1.855654e-10,3.000000e+01,7.801979e-03,1.085759e-07,9.318764e+02
2.040126e-10,3.000000e+01,8.458858e-03,1.183772e-07,9.320743e+02
2.242937e-10,3.000000e+01,9.158705e-03,1.274980e-07,9.321848e+02
2.465910e-10,3.000000e+01,9.837482e-03,1.372720e-07,9.322898e+02
2.711049e-10,3.000000e+01,1.055409e-02,1.480177e-07,9.324053e+02
2.980558e-10,3.000000e+01,1.133362e-02,1.598316e-07,9.325323e+02
3.276858e-10,3.000000e+01,1.218074e-02,1.728199e-07,9.326719e+02
3.602615e-10,3.000000e+01,1.310030e-02,1.870994e-07,9.328253e+02
3.960755e-10,3.000000e+01,1.409731e-02,2.027984e-07,9.329941e+02
4.354498e-10,3.000000e+01,1.517692e-02,2.200581e-07,9.331795e+02
4.787383e-10,3.000000e+01,1.634432e-02,2.390336e-07,9.333835e+02
5.263303e-10,3.000000e+01,1.760473e-02,2.598955e-07,9.336077e+02
5.786534e-10,3.000000e+01,1.896333e-02,2.830211e-07,9.338531e+02
6.361779e-10,3.000000e+01,2.037111e-02,3.451009e-07,9.339161e+02
6.994211e-10,3.000000e+01,2.199764e-02,4.133522e-07,9.339854e+02
7.689514e-10,3.000000e+01,2.382662e-02,4.883884e-07,9.340615e+02
8.453937e-10,3.000000e+01,2.576634e-02,5.708840e-07,9.341452e+02
9.294352e-10,3.000000e+01,2.773886e-02,6.615806e-07,9.342373e+02
1.021831e-09,3.000000e+01,2.968811e-02,7.612934e-07,9.343385e+02
1.123413e-09,3.000000e+01,3.157588e-02,8.709188e-07,9.344497e+02
1.235093e-09,3.000000e+01,3.337703e-02,9.914422e-07,9.345720e+02
1.357875e-09,3.000000e+01,3.507558e-02,1.123947e-06,9.347065e+02
1.492862e-09,3.000000e+01,3.666199e-02,1.269624e-06,9.348543e+02
1.641270e-09,3.000000e+01,3.813123e-02,1.429783e-06,9.350169e+02
1.804430e-09,3.000000e+01,3.948147e-02,1.605864e-06,9.351956e+02
1.983811e-09,3.000000e+01,4.071310e-02,1.799449e-06,9.353920e+02
2.181023e-09,3.000000e+01,4.182814e-02,2.011911e-06,9.356065e+02
2.397841e-09,3.000000e+01,4.285725e-02,2.220178e-06,9.357429e+02
2.636214e-09,3.000000e+01,4.382352e-02,2.449150e-06,9.358928e+02
2.898283e-09,3.000000e+01,4.472050e-02,2.700883e-06,9.360576e+02
3.186404e-09,3.000000e+01,4.554351e-02,2.977642e-06,9.362387e+02
3.503168e-09,3.000000e+01,4.628972e-02,3.281914e-06,9.364379e+02
3.851422e-09,3.000000e+01,4.695785e-02,3.616433e-06,9.366569e+02
4.234296e-09,3.000000e+01,4.754786e-02,3.984208e-06,9.368977e+02
4.655233e-09,3.000000e+01,4.806072e-02,4.388543e-06,9.371624e+02
5.118014e-09,3.000000e+01,4.849818e-02,4.833074e-06,9.374534e+02
5.626802e-09,3.000000e+01,4.886262e-02,5.321797e-06,9.377733e+02
6.186169e-09,3.000000e+01,4.915690e-02,5.859104e-06,9.381251e+02
6.801143e-09,3.000000e+01,4.938426e-02,6.449825e-06,9.385118e+02
7.477252e-09,3.000000e+01,4.954817e-02,7.099270e-06,9.389369e+02
8.220575e-09,3.000000e+01,4.965231e-02,7.813279e-06,9.394043e+02
9.037791e-09,3.000000e+01,4.970047e-02,8.598268e-06,9.399182e+02
9.936248e-09,3.000000e+01,4.969650e-02,9.461294e-06,9.404832e+02
1.092402e-08,3.000000e+01,4.964465e-02,1.032844e-05,9.409736e+02
1.200999e-08,3.000000e+01,4.955857e-02,1.114323e-05,9.412909e+02
1.320392e-08,3.000000e+01,4.945003e-02,1.203902e-05,9.416398e+02
1.451653e-08,3.000000e+01,4.932281e-02,1.302385e-05,9.420233e+02
1.595964e-08,3.000000e+01,4.917829e-02,1.410660e-05,9.424450e+02
1.754621e-08,3.000000e+01,4.901640e-02,1.496124e-05,9.426488e+02
1.929049e-08,3.000000e+01,4.885063e-02,1.569318e-05,9.427123e+02
2.120818e-08,3.000000e+01,4.870045e-02,1.649788e-05,9.427820e+02
2.331651e-08,3.000000e+01,4.857637e-02,1.738258e-05,9.428587e+02
2.563444e-08,3.000000e+01,4.848406e-02,1.835523e-05,9.429430e+02
2.818278e-08,3.000000e+01,4.842567e-02,1.942458e-05,9.430356e+02
3.098447e-08,3.000000e+01,4.840065e-02,2.060022e-05,9.431375e+02
3.406467e-08,3.000000e+01,4.840630e-02,2.189274e-05,9.432495e+02
3.745107e-08,3.000000e+01,4.843833e-02,2.331375e-05,9.433727e+02
4.117413e-08,3.000000e+01,4.849137e-02,2.487603e-05,9.435081e+02
4.526730e-08,3.000000e+01,4.855938e-02,2.659361e-05,9.436569e+02
4.976737e-08,3.000000e+01,4.863605e-02,2.848194e-05,9.438206e+02
5.471480e-08,3.000000e+01,4.871508e-02,3.055799e-05,9.440005e+02
6.015406e-08,3.000000e+01,4.879045e-02,3.284043e-05,9.441983e+02
6.613404e-08,3.000000e+01,4.885727e-02,3.502529e-05,9.443961e+02
7.270850e-08,3.000000e+01,4.894256e-02,3.629321e-05,9.445448e+02
7.993654e-08,3.000000e+01,4.908386e-02,3.768718e-05,9.447082e+02
8.788312e-08,3.000000e+01,4.930003e-02,3.921973e-05,9.448879e+02
9.661968e-08,3.000000e+01,4.960308e-02,4.090462e-05,9.450855e+02
1.062248e-07,3.000000e+01,4.999980e-02,4.275702e-05,9.453027e+02
1.167847e-07,3.000000e+01,5.049235e-02,4.479356e-05,9.455414e+02
1.283944e-07,3.000000e+01,5.106923e-02,4.703256e-05,9.458040e+02
1.411582e-07,3.000000e+01,5.172059e-02,4.949414e-05,9.460926e+02
1.551909e-07,3.000000e+01,5.247171e-02,5.129826e-05,9.463342e+02
1.706186e-07,3.000000e+01,5.337535e-02,5.320435e-05,9.465934e+02
1.875800e-07,3.000000e+01,5.444751e-02,5.529992e-05,9.468783e+02
2.062275e-07,3.000000e+01,5.569646e-02,5.760382e-05,9.471916e+02
2.267289e-07,3.000000e+01,5.712404e-02,6.013675e-05,9.475360e+02
2.492682e-07,3.000000e+01,5.872657e-02,6.282919e-05,9.479058e+02
2.740483e-07,3.000000e+01,6.055288e-02,6.507716e-05,9.482449e+02
3.012917e-07,3.000000e+01,6.264519e-02,6.754860e-05,9.486177e+02
3.312435e-07,3.000000e+01,6.500459e-02,7.026573e-05,9.490275e+02
3.641728e-07,3.000000e+01,6.761512e-02,7.325298e-05,9.494781e+02
4.003756e-07,3.000000e+01,7.047278e-02,7.608129e-05,9.499229e+02
4.401774e-07,3.000000e+01,7.365113e-02,7.899110e-05,9.503898e+02
4.839359e-07,3.000000e+01,7.715325e-02,8.219018e-05,9.509030e+02
5.320445e-07,3.000000e+01,8.096509e-02,8.561262e-05,9.514558e+02
5.849357e-07,3.000000e+01,8.512295e-02,8.886958e-05,9.520016e+02
6.430848e-07,3.000000e+01,8.965078e-02,9.245031e-05,9.526016e+02
7.070146e-07,3.000000e+01,9.452797e-02,9.628152e-05,9.532485e+02
7.772997e-07,3.000000e+01,9.979532e-02,1.000571e-04,9.539066e+02
8.545720e-07,3.000000e+01,1.054552e-01,1.042081e-04,9.546301e+02
9.395259e-07,3.000000e+01,1.114927e-01,1.084260e-04,9.553832e+02
1.032925e-06,3.000000e+01,1.179455e-01,1.128944e-04,9.561906e+02
1.135610e-06,3.000000e+01,1.247903e-01,1.175311e-04,9.570436e+02
1.248502e-06,3.000000e+01,1.320769e-01,1.223360e-04,9.579446e+02
1.372617e-06,3.000000e+01,1.397986e-01,1.272379e-04,9.588854e+02
1.509070e-06,3.000000e+01,1.480307e-01,1.323013e-04,9.598771e+02
1.659089e-06,2.771000e+01,1.567725e-01,1.375254e-04,9.609234e+02
1.824020e-06,2.544000e+01,1.660477e-01,1.430917e-04,9.620510e+02
2.005348e-06,2.363000e+01,1.758704e-01,1.488343e-04,9.632423e+02
