pressure,epsilon,muB,phase_index
6.857996529344214e-05,0.0005222930343001431,1138.4513302553314,0
7.012531188365453e-05,0.0005263019172718564,1141.4055624194366,0
7.167065847386683e-05,0.0005303108002435694,1144.3597945835415,0
7.32162358196008e-05,0.0005343192605787172,1147.314026747647,0
7.48001540470952e-05,0.0005382574982882613,1150.2682589117517,0
7.638407227458968e-05,0.0005421957359978057,1153.2224910758569,0
7.796799050208417e-05,0.00054613397370735,1156.176723239962,0
7.955698703775125e-05,0.000550064334821798,1159.1309554040672,0
8.117985956989882e-05,0.0005539421533376695,1162.0851875681724,0
8.28027321020464e-05,0.0005578199718535411,1165.0394197322773,0
8.442560463419397e-05,0.0005616977903694127,1167.9936518963825,0
8.605454959073418e-05,0.0005655671614216224,1170.9478840604875,0
8.771669398880025e-05,0.0005693903481069734,1173.9021162245926,0
8.937883838686613e-05,0.0005732135347923239,1176.8563483886978,0
9.104098278493209e-05,0.0005770367214776745,1179.8105805528028,0
9.270628109878767e-05,0.0005808562768298361,1182.764812716908,0
9.440732127539006e-05,0.0005846346799696063,1185.7190448810131,0
9.610836145199245e-05,0.0005884130831093765,1188.673277045118,0
9.780940162859484e-05,0.0005921914862491468,1191.6275092092233,0
9.951044180519723e-05,0.0005959698893889169,1194.5817413733284,0
0.00010124789175188265,0.0005997127282413985,1197.5359735374334,0
0.00010298866250274725,0.0006034523234031463,1200.4902057015388,0
0.00010472943325361165,0.0006071919185648937,1203.4444378656435,0
0.00010647020400447616,0.0006109315137266413,1206.3986700297487,0
0.00010823668440930821,0.0006146490769679018,1209.3529021938539,0
0.00011001610420103927,0.0006183555517851926,1212.307134357959,0
0.00011179552399277031,0.0006220620266024834,1215.2613665220642,0
0.00011460946801790767,0.0017321697740758108,1218.2155986861692,2
0.00011879650126409386,0.0017489384882112989,1221.1698308502744,2
0.00012298696278491048,0.0017657085050084371,1224.1240630143793,2
0.0001272556313132317,0.0017825082385816492,1227.0782951784845,2
0.00013152520084894214,0.001799308324534404,1230.0325273425897,2
0.00013587570160820882,0.001816140062289393,1232.9867595066946,2
0.00014022620236747547,0.001832971800044382,1235.9409916707998,2
0.0001446569973344302,0.0018498382804853898,1238.895223834905,2
0.00014908942879904806,0.001866705469026348,1241.84945599901,2
0.00015359984952273656,0.0018836081709507054,1244.803688163115,2
0.00015811445787871926,0.0019005127797657422,1247.7579203272203,2
0.00016270464488412666,0.0019174540026394111,1250.7121524913252,2
0.0001673015778430827,0.0019343984935886642,1253.6663846554306,2
0.0001719717570421442,0.001951380546712329,1256.6206168195354,2
0.00017665126079008674,0.001968367381655934,1259.5748489836405,2
0.00018140157881016612,0.0019853913097897047,1262.5290811477457,2
0.00018616380105870357,0.0020024214734717166,1265.483313311851,2
0.00019099443708359953,0.002019489825366184,1268.437545475956,2
0.00019583957478154284,0.002036566272018766,1271.391777640061,2
0.00020075083085580028,0.0020536810368314835,1274.3460098041662,2
0.0002056792286635684,0.0020708057359427453,1277.3002419682712,2
0.00021067127779100778,0.0020879683853685703,1280.2544741323763,2
0.0002156830834202091,0.0021051428140545945,1283.2087062964815,2
0.00022075613625681964,0.0021223554546534232,1286.1629384605865,2
0.00022585159589346817,0.002139582074774348,1289.1171706246917,2
0.00023100595241607813,0.0021568463253792687,1292.0714027887968,2
0.0002361854107205927,0.0021741266140511742,1295.0256349529018,2
0.0002414212622401567,0.00219144419022045,1297.979867117007,2
0.0002466848669241455,0.0022087801169314463,1300.9340992811121,2
0.00025200247788746726,0.0022261525513837155,1303.888331445217,2
0.00025735057361134977,0.0022435455932498854,1306.8425636093225,2
0.0002627502373739291,0.0022609751699634462,1309.7967957734272,2
0.0002681831195609212,0.002278428281216952,1312.7510279375324,2
0.0002736650848178387,0.0022959160660925245,1315.7052601016376,2
0.00027918299965395423,0.0023134292467333673,1318.6594922657428,2
0.0002847475242306852,0.0023309771224494513,1321.613724429848,2
0.00029035076713914034,0.002348553819081821,1324.5679565939527,2
0.0002959981535215798,0.0023661634964706173,1327.522188758058,2
0.00030168706916279395,0.002383804201466543,1330.476420922163,2
0.0003074176406530373,0.0024014768577147304,1333.4306530862682,2
0.0003131925736874296,0.0024191835405623207,1336.3848852503734,2
0.00031900663126894867,0.0024369210231104453,1339.3391174144783,2
0.000324867877119736,0.002454695653297811,1342.2933495785835,2
0.0003307656979086131,0.0024724993937258392,1345.2475817426887,2
0.00033671355199901143,0.002490342955997034,1348.2018139067936,2
0.0003426954323787628,0.00250821426337393,1351.1560460708988,2
0.0003487302393691916,0.002526128727217064,1354.110278235004,2
