pressure,epsilon,muB
4.9429213721736174e-05,0.0004673438230204259,1099.7509931749237
5.0257838100910256e-05,0.00046996365287092995,1101.5148445775055
5.1086462480084406e-05,0.0004725834827214343,1103.2786959800878
5.1919723545195914e-05,0.00047519044940441853,1105.0425473826697
5.27724109705412e-05,0.00047774352317135117,1106.8063987852518
5.362509839588647e-05,0.00048029659693828386,1108.570250187834
5.447778582123166e-05,0.00048284967070521623,1110.334101590416
5.533047324657686e-05,0.00048540274447214865,1112.0979529929978
5.618316067192213e-05,0.00048795581823908124,1113.86180439558
5.7045964517612636e-05,0.0004904829244124659,1115.6256557981621
5.7921671685754756e-05,0.0004929769093610089,1117.389507200744
5.8797378853896964e-05,0.0004954708943095521,1119.1533586033263
5.9673086022039084e-05,0.0004979648792580951,1120.9172100059081
6.054879319018129e-05,0.0005004588642066383,1122.6810614084902
6.142450035832342e-05,0.0005029528491551813,1124.4449128110723
6.231154025317699e-05,0.0005054199521149702,1126.2087642136544
6.321016759663405e-05,0.000507859568868572,1127.9726156162365
6.410879494009104e-05,0.0005102991856221735,1129.7364670188185
6.500742228354802e-05,0.0005127388023757752,1131.5003184214006
6.59060496270051e-05,0.000515178419129377,1133.2641698239827
6.680467697046218e-05,0.0005176180358829787,1135.0280212265648
6.771190989299485e-05,0.0005200411559607483,1136.7918726291468
6.863457324482634e-05,0.0005224346962986947,1138.555724031729
6.955723659665775e-05,0.0005248282366366408,1140.3195754343108
7.047989994848924e-05,0.0005272217769745871,1142.083426836893
7.140256330032065e-05,0.0005296153173125331,1143.847278239475
7.232522665215215e-05,0.0005320088576504795,1145.611129642057
7.324891660319776e-05,0.0005344005177371393,1147.3749810446393
7.419460950475331e-05,0.0005367518786735216,1149.1388324472211
7.514030240630894e-05,0.0005391032396099042,1150.9026838498032
7.608599530786449e-05,0.0005414546005462863,1152.6665352523853
7.703168820942012e-05,0.0005438059614826688,1154.4303866549674
7.797738111097565e-05,0.0005461573224190511,1156.1942380575492
7.89230740125313e-05,0.0005485086833554336,1157.9580894601315
