pressure,epsilon,muB
5.8830025130260493e-05,0.000513216477755511,1100.7895791583167
5.968271378757517e-05,0.0005152987839679359,1102.496993987976
6.053852615230458e-05,0.0005173774619238477,1104.2044088176353
6.141730695390783e-05,0.0005194294615230462,1105.9118236472946
6.229608775551099e-05,0.0005214814611222444,1107.6192384769538
6.317486855711424e-05,0.000523533460721443,1109.3266533066133
6.406014847695387e-05,0.0005255787216432866,1111.0340681362725
6.494966038076153e-05,0.0005276195945891785,1112.741482965932
6.583917228456918e-05,0.0005296604675350703,1114.4488977955912
6.67296507214429e-05,0.0005317006006012024,1116.1563126252504
6.762972014028052e-05,0.0005337333917835671,1117.8637274549096
6.852978955911823e-05,0.0005357661829659319,1119.571142284569
6.942985897795595e-05,0.0005377989741482967,1121.2785571142285
