p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
5.635937e-07,8.670000e+00,4.809047e-02,1.528691e-04,4.509195e-01,3.166612e+02,0.000000e+00,4.723304e-03,1.000000e+00
5.820860e-07,8.625000e+00,4.805878e-02,1.556150e-04,4.590897e-01,3.166991e+02,0.000000e+00,4.835098e-03,1.000000e+00
6.011850e-07,8.585000e+00,4.809102e-02,1.584509e-04,4.675280e-01,3.167384e+02,0.000000e+00,4.950561e-03,1.000000e+00
6.209106e-07,8.540000e+00,4.808037e-02,1.613798e-04,4.762432e-01,3.167789e+02,0.000000e+00,5.069812e-03,1.000000e+00
6.412835e-07,8.500000e+00,4.813167e-02,1.644049e-04,4.852444e-01,3.168207e+02,0.000000e+00,5.192976e-03,1.000000e+00
6.623248e-07,8.460000e+00,4.818297e-02,1.675292e-04,4.945409e-01,3.168639e+02,0.000000e+00,5.320181e-03,1.000000e+00
6.840565e-07,8.415000e+00,4.820862e-02,1.707561e-04,5.041424e-01,3.169085e+02,0.000000e+00,5.451560e-03,1.000000e+00
7.065013e-07,8.375000e+00,4.828470e-02,1.740888e-04,5.140590e-01,3.169546e+02,0.000000e+00,5.587250e-03,1.000000e+00
7.296825e-07,8.335000e+00,4.836791e-02,1.775308e-04,5.243009e-01,3.170022e+02,0.000000e+00,5.727391e-03,1.000000e+00
7.536243e-07,8.295000e+00,4.845776e-02,1.810858e-04,5.348789e-01,3.170514e+02,0.000000e+00,5.872131e-03,1.000000e+00
7.783517e-07,8.260000e+00,4.859460e-02,1.847575e-04,5.458040e-01,3.171022e+02,0.000000e+00,6.021621e-03,1.000000e+00
8.038904e-07,8.220000e+00,4.870400e-02,1.885496e-04,5.570875e-01,3.171546e+02,0.000000e+00,6.176015e-03,1.000000e+00
8.302671e-07,8.180000e+00,4.881045e-02,1.924662e-04,5.687413e-01,3.172088e+02,0.000000e+00,6.335474e-03,1.000000e+00
8.575092e-07,8.145000e+00,4.896923e-02,1.965112e-04,5.807774e-01,3.172648e+02,0.000000e+00,6.500166e-03,1.000000e+00
8.856452e-07,8.105000e+00,4.908417e-02,2.006890e-04,5.932085e-01,3.173225e+02,0.000000e+00,6.670262e-03,1.000000e+00
9.147044e-07,8.070000e+00,4.924963e-02,2.050038e-04,6.060474e-01,3.173822e+02,0.000000e+00,6.845939e-03,1.000000e+00
9.447170e-07,8.035000e+00,4.941751e-02,2.094603e-04,6.193076e-01,3.174438e+02,0.000000e+00,7.027380e-03,1.000000e+00
9.757144e-07,8.000000e+00,4.958738e-02,2.140629e-04,6.330029e-01,3.175075e+02,0.000000e+00,7.214774e-03,1.000000e+00
1.007729e-06,7.965000e+00,4.975875e-02,2.188166e-04,6.471475e-01,3.175732e+02,0.000000e+00,7.408317e-03,1.000000e+00
1.040794e-06,7.930000e+00,4.993120e-02,2.237262e-04,6.617562e-01,3.176412e+02,0.000000e+00,7.608210e-03,1.000000e+00
1.074943e-06,7.895000e+00,5.010427e-02,2.287969e-04,6.768443e-01,3.177113e+02,0.000000e+00,7.814662e-03,1.000000e+00
1.110214e-06,7.860000e+00,5.027753e-02,2.340341e-04,6.924275e-01,3.177837e+02,0.000000e+00,8.027888e-03,1.000000e+00
1.146641e-06,7.830000e+00,5.049457e-02,2.394430e-04,7.085219e-01,3.178585e+02,0.000000e+00,8.248111e-03,1.000000e+00
1.184264e-06,7.795000e+00,5.066658e-02,2.450294e-04,7.251444e-01,3.179358e+02,0.000000e+00,8.475559e-03,1.000000e+00
1.223121e-06,7.765000e+00,5.087418e-02,2.499885e-04,7.399187e-01,3.180111e+02,0.000000e+00,8.785035e-03,1.000000e+00
1.263253e-06,7.730000e+00,5.107379e-02,2.516605e-04,7.449905e-01,3.180700e+02,0.000000e+00,9.422011e-03,1.000000e+00
1.304702e-06,7.695000e+00,5.129964e-02,2.533874e-04,7.502287e-01,3.181309e+02,0.000000e+00,1.007989e-02,1.000000e+00
1.347511e-06,7.660000e+00,5.156000e-02,2.551709e-04,7.556388e-01,3.181937e+02,0.000000e+00,1.075935e-02,1.000000e+00
1.391725e-06,7.625000e+00,5.184873e-02,2.570129e-04,7.612264e-01,3.182586e+02,0.000000e+00,1.146110e-02,1.000000e+00
1.437389e-06,7.585000e+00,5.214600e-02,2.589154e-04,7.669973e-01,3.183256e+02,0.000000e+00,1.218588e-02,1.000000e+00
1.484552e-06,7.550000e+00,5.250777e-02,2.608803e-04,7.729576e-01,3.183949e+02,0.000000e+00,1.293445e-02,1.000000e+00
1.533262e-06,7.510000e+00,5.287967e-02,2.629096e-04,7.791134e-01,3.184664e+02,0.000000e+00,1.370757e-02,1.000000e+00
1.583570e-06,7.475000e+00,5.332310e-02,2.650056e-04,7.854712e-01,3.185402e+02,0.000000e+00,1.450606e-02,1.000000e+00
1.635529e-06,7.435000e+00,5.376457e-02,2.671703e-04,7.920377e-01,3.186165e+02,0.000000e+00,1.533075e-02,1.000000e+00
1.689193e-06,7.400000e+00,5.428421e-02,2.694060e-04,7.988196e-01,3.186952e+02,0.000000e+00,1.618250e-02,1.000000e+00
1.744617e-06,7.365000e+00,5.483566e-02,2.717151e-04,8.058240e-01,3.187766e+02,0.000000e+00,1.706220e-02,1.000000e+00
1.801861e-06,7.325000e+00,5.540002e-02,2.741000e-04,8.130582e-01,3.188606e+02,0.000000e+00,1.797076e-02,1.000000e+00
1.860982e-06,7.290000e+00,5.603542e-02,2.765631e-04,8.205298e-01,3.189474e+02,0.000000e+00,1.890913e-02,1.000000e+00
1.922043e-06,7.260000e+00,5.674103e-02,2.791070e-04,8.282466e-01,3.190370e+02,0.000000e+00,1.987829e-02,1.000000e+00
1.985108e-06,7.225000e+00,5.745976e-02,2.817344e-04,8.362165e-01,3.191296e+02,0.000000e+00,2.087925e-02,1.000000e+00
2.050242e-06,7.190000e+00,5.821086e-02,2.844480e-04,8.444480e-01,3.192252e+02,0.000000e+00,2.191305e-02,1.000000e+00
2.117513e-06,7.160000e+00,5.903734e-02,2.872507e-04,8.529495e-01,3.193239e+02,0.000000e+00,2.298077e-02,1.000000e+00
