# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=fm^-4 => code, pFactor=2.612195e-04, eFactor=2.612195e-04
# P (code_units),e (code_units),n,muB
6.658903e-04,1.454003e-03,0.87,1840.6965081609196
6.843611e-04,1.478474e-03,0.88,1856.642091818182
7.030513e-04,1.503156e-03,0.89,1872.595184269663
7.219610e-04,1.528053e-03,0.9,1888.557727777778
7.410875e-04,1.553159e-03,0.91,1904.5229053846158
7.604308e-04,1.578474e-03,0.92,1920.490631195652
7.799909e-04,1.604003e-03,0.93,1936.4650666666666
7.997652e-04,1.629743e-03,0.94,1952.4417991489363
8.197564e-04,1.655695e-03,0.95,1968.4228332631583
8.399591e-04,1.681859e-03,0.96,1984.4039235416667
8.603786e-04,1.708232e-03,0.97,2000.3871025773199
8.810097e-04,1.734819e-03,0.98,2016.3723064285716
9.018550e-04,1.761617e-03,0.99,2032.359473737374
9.229120e-04,1.788627e-03,1.0,2048.3465723
