# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=Already code => factor=1, pFactor=1.000000e+00, eFactor=1.000000e+00
# pressure (code_units),epsilon (code_units),muB
3.672365e-05,4.235244e-04,1071.5293707336107
3.748281e-05,4.263941e-04,1073.2932221361928
3.824196e-05,4.292638e-04,1075.0570735387748
3.900698e-05,4.321100e-04,1076.820924941357
3.978902e-05,4.348883e-04,1078.5847763439388
4.057106e-05,4.376665e-04,1080.348627746521
4.135310e-05,4.404447e-04,1082.112479149103
4.213515e-05,4.432230e-04,1083.876330551685
4.291970e-05,4.459924e-04,1085.640181954267
4.372556e-05,4.486870e-04,1087.4040333568491
4.453143e-05,4.513817e-04,1089.1678847594312
4.533729e-05,4.540764e-04,1090.9317361620133
4.614316e-05,4.567710e-04,1092.6955875645954
4.694902e-05,4.594657e-04,1094.4594389671774
4.777196e-05,4.621042e-04,1096.2232903697595
4.860059e-05,4.647240e-04,1097.9871417723416
4.942921e-05,4.673438e-04,1099.7509931749237
5.025784e-05,4.699637e-04,1101.5148445775055
5.108646e-05,4.725835e-04,1103.2786959800878
5.191972e-05,4.751904e-04,1105.0425473826697
5.277241e-05,4.777435e-04,1106.8063987852518
5.362510e-05,4.802966e-04,1108.570250187834
5.447779e-05,4.828497e-04,1110.334101590416
5.533047e-05,4.854027e-04,1112.0979529929978
5.618316e-05,4.879558e-04,1113.86180439558
5.704596e-05,4.904829e-04,1115.6256557981621
5.792167e-05,4.929769e-04,1117.389507200744
5.879738e-05,4.954709e-04,1119.1533586033263
5.967309e-05,4.979649e-04,1120.9172100059081
6.054879e-05,5.004589e-04,1122.6810614084902
6.142450e-05,5.029528e-04,1124.4449128110723
6.231154e-05,5.054200e-04,1126.2087642136544
6.321017e-05,5.078596e-04,1127.9726156162365
6.410879e-05,5.102992e-04,1129.7364670188185
6.500742e-05,5.127388e-04,1131.5003184214006
6.590605e-05,5.151784e-04,1133.2641698239827
6.680468e-05,5.176180e-04,1135.0280212265648
6.771191e-05,5.200412e-04,1136.7918726291468
6.863457e-05,5.224347e-04,1138.555724031729
6.955724e-05,5.248282e-04,1140.3195754343108
7.047990e-05,5.272218e-04,1142.083426836893
7.140256e-05,5.296153e-04,1143.847278239475
7.232523e-05,5.320089e-04,1145.611129642057
