# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=Already code => factor=1, pFactor=1.000000e+00, eFactor=1.000000e+00
# pressure (code_units),epsilon (code_units),muB
5.939207e-04,2.915347e-03,1412.1016367220816
5.982820e-04,2.927629e-03,1413.8534640765674
6.026433e-04,2.939911e-03,1415.6052914310535
6.070450e-04,2.952284e-03,1417.3571187855391
6.114586e-04,2.964683e-03,1419.108946140025
6.158721e-04,2.977083e-03,1420.8607734945108
6.203041e-04,2.989524e-03,1422.6126008489969
6.247702e-04,3.002042e-03,1424.3644282034827
6.292364e-04,3.014561e-03,1426.1162555579685
6.337025e-04,3.027079e-03,1427.8680829124544
6.382175e-04,3.039709e-03,1429.6199102669402
6.427364e-04,3.052348e-03,1431.371737621426
6.472554e-04,3.064987e-03,1433.123564975912
6.518009e-04,3.077686e-03,1434.875392330398
6.563730e-04,3.090447e-03,1436.6272196848838
6.609451e-04,3.103207e-03,1438.3790470393697
6.655213e-04,3.115976e-03,1440.1308743938553
6.701468e-04,3.128860e-03,1441.8827017483413
6.747724e-04,3.141743e-03,1443.6345291028274
6.793979e-04,3.154626e-03,1445.386356457313
6.840584e-04,3.167590e-03,1447.1381838117989
6.887376e-04,3.180597e-03,1448.8900111662847
6.934169e-04,3.193605e-03,1450.6418385207705
6.981082e-04,3.206640e-03,1452.3936658752564
7.028415e-04,3.219773e-03,1454.1454932297424
7.075748e-04,3.232905e-03,1455.8973205842283
7.123080e-04,3.246038e-03,1457.6491479387141
7.170847e-04,3.259272e-03,1459.4009752931997
7.218722e-04,3.272531e-03,1461.1528026476858
7.266598e-04,3.285790e-03,1462.9046300021719
7.314678e-04,3.299096e-03,1464.6564573566575
7.363100e-04,3.312483e-03,1466.4082847111433
7.411521e-04,3.325869e-03,1468.1601120656292
7.459943e-04,3.339256e-03,1469.9119394201152
7.508886e-04,3.352766e-03,1471.663766774601
7.557857e-04,3.366281e-03,1473.415594129087
7.606827e-04,3.379797e-03,1475.1674214835728
7.656087e-04,3.393381e-03,1476.9192488380586
7.705610e-04,3.407027e-03,1478.6710761925444
7.755133e-04,3.420673e-03,1480.4229035470303
7.804711e-04,3.434332e-03,1482.1747309015163
7.854789e-04,3.448109e-03,1483.926558256002
7.904867e-04,3.461887e-03,1485.6783856104878
7.954945e-04,3.475664e-03,1487.4302129649736
8.005399e-04,3.489531e-03,1489.1820403194597
8.056035e-04,3.503441e-03,1490.9338676739455
8.106671e-04,3.517351e-03,1492.6856950284314
8.157448e-04,3.531295e-03,1494.4375223829172
8.208645e-04,3.545339e-03,1496.189349737403
8.259843e-04,3.559383e-03,1497.941177091889
8.311040e-04,3.573427e-03,1499.6930044463747
8.362703e-04,3.587582e-03,1501.4448318008608
8.414465e-04,3.601762e-03,1503.1966591553467
8.466227e-04,3.615941e-03,1504.9484865098325
8.518215e-04,3.630175e-03,1506.700313864318
8.570545e-04,3.644490e-03,1508.4521412188042
8.622874e-04,3.658806e-03,1510.2039685732902
8.675204e-04,3.673122e-03,1511.9557959277759
8.728089e-04,3.687571e-03,1513.7076232822617
8.780990e-04,3.702025e-03,1515.4594506367475
8.833890e-04,3.716478e-03,1517.2112779912334
8.887106e-04,3.731007e-03,1518.9631053457192
8.940580e-04,3.745599e-03,1520.7149327002053
8.994054e-04,3.760192e-03,1522.4667600546911
