# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=Already code => factor=1, pFactor=1.000000e+00, eFactor=1.000000e+00
# pressure (code_units),epsilon (code_units),muB,phase_index
1.439630e-05,3.113965e-04,1012.6849998993046,0
1.496510e-05,3.154157e-04,1014.4368272537904,0
1.553390e-05,3.194349e-04,1016.1886546082764,0
1.611743e-05,3.233195e-04,1017.9404819627623,0
1.670829e-05,3.271372e-04,1019.6923093172481,0
1.729916e-05,3.309549e-04,1021.4441366717339,0
1.789318e-05,3.347490e-04,1023.1959640262198,0
1.850815e-05,3.383871e-04,1024.9477913807057,0
1.912311e-05,3.420251e-04,1026.6996187351915,0
1.973808e-05,3.456631e-04,1028.4514460896773,0
2.036201e-05,3.492341e-04,1030.2032734441632,0
2.099953e-05,3.527033e-04,1031.955100798649,0
2.163705e-05,3.561726e-04,1033.706928153135,0
2.227456e-05,3.596418e-04,1035.458755507621,0
2.292291e-05,3.630441e-04,1037.2105828621068,0
2.358419e-05,3.663662e-04,1038.9624102165926,0
2.424547e-05,3.696884e-04,1040.7142375710785,0
2.490675e-05,3.730105e-04,1042.4660649255643,0
2.557520e-05,3.762902e-04,1044.2178922800504,0
2.625948e-05,3.794763e-04,1045.969719634536,0
2.694376e-05,3.826625e-04,1047.7215469890218,0
2.762804e-05,3.858486e-04,1049.4733743435077,0
2.831232e-05,3.890347e-04,1051.2252016979937,0
2.901861e-05,3.921021e-04,1052.9770290524796,0
2.972582e-05,3.951646e-04,1054.7288564069654,0
3.043304e-05,3.982271e-04,1056.4806837614512,0
3.114025e-05,4.012896e-04,1058.232511115937,0
3.185680e-05,4.043070e-04,1059.984338470423,0
3.258744e-05,4.072564e-04,1061.7361658249088,0
3.331809e-05,4.102058e-04,1063.4879931793948,0
3.404873e-05,4.131552e-04,1065.2398205338804,0
3.477938e-05,4.161046e-04,1066.9916478883665,0
3.552461e-05,4.189919e-04,1068.7434752428521,0
3.627859e-05,4.218420e-04,1070.4953025973382,0
3.703257e-05,4.246921e-04,1072.247129951824,0
3.778655e-05,4.275423e-04,1073.9989573063099,0
3.854053e-05,4.303924e-04,1075.7507846607957,0
3.930922e-05,4.331838e-04,1077.5026120152816,0
4.008593e-05,4.359431e-04,1079.2544393697674,0
4.086264e-05,4.387023e-04,1081.0062667242532,0
4.163935e-05,4.414616e-04,1082.7580940787393,0
4.241606e-05,4.442209e-04,1084.509921433225,0
4.320368e-05,4.469420e-04,1086.261748787711,0
4.400405e-05,4.496182e-04,1088.0135761421966,0
4.480442e-05,4.522945e-04,1089.7654034966827,0
4.560479e-05,4.549708e-04,1091.5172308511685,0
4.640516e-05,4.576471e-04,1093.2690582056543,0
4.720710e-05,4.603182e-04,1095.0208855601402,0
4.803007e-05,4.629202e-04,1096.772712914626,0
4.885305e-05,4.655222e-04,1098.5245402691119,0
4.967602e-05,4.681242e-04,1100.276367623598,0
5.049900e-05,4.707261e-04,1102.0281949780838,0
5.132198e-05,4.733281e-04,1103.7800223325696,0
5.215626e-05,4.758987e-04,1105.5318496870555,0
5.300314e-05,4.784344e-04,1107.2836770415413,0
5.385001e-05,4.809700e-04,1109.0355043960271,0
5.469689e-05,4.835057e-04,1110.7873317505132,0
5.554376e-05,4.860414e-04,1112.5391591049988,0
5.639064e-05,4.885770e-04,1114.2909864594847,0
5.725307e-05,4.910728e-04,1116.0428138139705,0
5.812281e-05,4.935497e-04,1117.7946411684566,0
5.899255e-05,4.960267e-04,1119.5464685229424,0
5.986229e-05,4.985037e-04,1121.2982958774282,0
6.073202e-05,5.009807e-04,1123.050123231914,0
6.160176e-05,5.034577e-04,1124.8019505864,0
6.248731e-05,5.058971e-04,1126.5537779408858,0
6.337982e-05,5.083201e-04,1128.3056052953716,0
6.427232e-05,5.107431e-04,1130.0574326498577,0
6.516482e-05,5.131661e-04,1131.8092600043433,0
6.605732e-05,5.155891e-04,1133.5610873588294,0
6.694982e-05,5.180121e-04,1135.312914713315,0
6.785465e-05,5.204114e-04,1137.064742067801,0
6.877102e-05,5.227887e-04,1138.8165694222869,0
6.968739e-05,5.251659e-04,1140.5683967767727,0
7.060377e-05,5.275431e-04,1142.3202241312586,0
7.152014e-05,5.299203e-04,1144.0720514857444,0
7.243651e-05,5.322976e-04,1145.8238788402302,0
7.335654e-05,5.346681e-04,1147.575706194716,0
7.429578e-05,5.370034e-04,1149.3275335492021,0
7.523503e-05,5.393388e-04,1151.079360903688,0
7.617427e-05,5.416741e-04,1152.8311882581738,0
7.711352e-05,5.440094e-04,1154.5830156126594,0
7.805277e-05,5.463448e-04,1156.3348429671455,0
7.899201e-05,5.486801e-04,1158.0866703216313,0
7.994567e-05,5.509931e-04,1159.8384976761172,0
8.090801e-05,5.532926e-04,1161.590325030603,0
8.187036e-05,5.555921e-04,1163.3421523850889,0
8.283270e-05,5.578916e-04,1165.0939797395747,0
8.379505e-05,5.601911e-04,1166.8458070940608,0
8.475740e-05,5.624906e-04,1168.5976344485466,0
8.571974e-05,5.647901e-04,1170.3494618030325,0
8.670349e-05,5.670598e-04,1172.1012891575183,0
8.768913e-05,5.693269e-04,1173.853116512004,0
8.867476e-05,5.715940e-04,1175.60494386649,0
8.966039e-05,5.738612e-04,1177.356771220976,0
9.064603e-05,5.761283e-04,1179.1085985754617,0
9.163166e-05,5.783954e-04,1180.8604259299475,0
9.261844e-05,5.806612e-04,1182.6122532844333,0
9.362714e-05,5.829017e-04,1184.3640806389192,0
9.463583e-05,5.851423e-04,1186.1159079934052,0
9.564453e-05,5.873828e-04,1187.867735347891,0
9.665323e-05,5.896234e-04,1189.619562702377,0
9.766193e-05,5.918639e-04,1191.3713900568628,0
9.867063e-05,5.941045e-04,1193.1232174113486,0
9.967995e-05,5.963444e-04,1194.8750447658344,0
1.007122e-04,5.985619e-04,1196.6268721203205,0
1.017445e-04,6.007795e-04,1198.3786994748061,0
1.027767e-04,6.029970e-04,1200.130526829292,0
1.038090e-04,6.052146e-04,1201.8823541837778,0
1.048412e-04,6.074321e-04,1203.6341815382639,0
1.058735e-04,6.096496e-04,1205.3860088927497,0
1.069058e-04,6.118672e-04,1207.1378362472356,0
1.079577e-04,6.140679e-04,1208.8896636017214,0
1.090128e-04,6.162658e-04,1210.6414909562072,0
1.100680e-04,6.184637e-04,1212.393318310693,0
1.111232e-04,6.206616e-04,1214.145145665179,0
1.121784e-04,6.228595e-04,1215.896973019665,0
1.132335e-04,6.250574e-04,1217.6488003741506,0
1.142887e-04,6.272553e-04,1219.4006277286367,0
1.153565e-04,6.294441e-04,1221.1524550831223,0
1.164347e-04,6.316254e-04,1222.9042824376083,0
1.175129e-04,6.338067e-04,1224.6561097920942,0
1.185911e-04,6.359880e-04,1226.40793714658,0
1.196693e-04,6.381693e-04,1228.1597645010659,0
1.207475e-04,6.403506e-04,1229.9115918555517,0
1.218257e-04,6.425319e-04,1231.6634192100375,0
1.229062e-04,6.447120e-04,1233.4152465645234,0
1.240078e-04,6.468810e-04,1235.1670739190095,0
1.251094e-04,6.490500e-04,1236.9189012734953,0
1.262110e-04,6.512191e-04,1238.6707286279811,0
1.273126e-04,6.533881e-04,1240.4225559824667,0
1.284142e-04,6.555571e-04,1242.1743833369528,0
1.295158e-04,6.577261e-04,1243.9262106914389,0
1.306174e-04,6.598952e-04,1245.6780380459245,0
1.317314e-04,6.620590e-04,1247.4298654004103,0
1.328561e-04,6.642183e-04,1249.1816927548962,0
1.339808e-04,6.663775e-04,1250.933520109382,0
1.351054e-04,6.685368e-04,1252.685347463868,0
1.362301e-04,6.706961e-04,1254.437174818354,0
1.373548e-04,6.728553e-04,1256.1890021728398,0
1.384795e-04,6.750146e-04,1257.9408295273256,0
1.396042e-04,6.771739e-04,1259.6926568818114,0
1.407488e-04,6.793267e-04,1261.4444842362973,0
1.418969e-04,6.814785e-04,1263.1963115907834,0
1.430450e-04,6.836302e-04,1264.948138945269,0
1.441932e-04,6.857820e-04,1266.6999662997548,0
1.453413e-04,6.879337e-04,1268.4517936542406,0
1.464894e-04,6.900855e-04,1270.2036210087267,0
1.476375e-04,6.922372e-04,1271.9554483632126,0
1.487870e-04,6.943887e-04,1273.7072757176984,0
1.499578e-04,6.965352e-04,1275.4591030721842,0
1.511287e-04,6.986818e-04,1277.21093042667,0
1.522995e-04,7.008284e-04,1278.962757781156,0
1.534703e-04,7.029749e-04,1280.7145851356418,0
1.546412e-04,7.051215e-04,1282.4664124901278,0
1.558120e-04,7.072681e-04,1284.2182398446134,0
1.569829e-04,7.094146e-04,1285.9700671990995,0
1.581575e-04,7.115608e-04,1287.7218945535851,0
1.593521e-04,7.137050e-04,1289.4737219080712,0
1.605466e-04,7.158492e-04,1291.225549262557,0
1.617412e-04,7.179935e-04,1292.9773766170429,0
1.629357e-04,7.201377e-04,1294.7292039715287,0
1.641303e-04,7.222819e-04,1296.4810313260145,0
1.653248e-04,7.244261e-04,1298.2328586805004,0
1.665194e-04,7.265703e-04,1299.9846860349862,0
1.677178e-04,7.287144e-04,1301.7365133894723,0
1.689354e-04,7.308575e-04,1303.4883407439581,0
1.701529e-04,7.330007e-04,1305.240168098444,0
1.713704e-04,7.351439e-04,1306.9919954529296,0
1.725879e-04,7.372871e-04,1308.7438228074157,0
1.738054e-04,7.394303e-04,1310.4956501619017,0
1.750229e-04,7.415735e-04,1312.2474775163873,0
1.762404e-04,7.437167e-04,1313.9993048708732,0
1.774600e-04,7.458600e-04,1315.751132225359,0
1.787008e-04,7.480051e-04,1317.502959579845,0
1.799415e-04,7.501503e-04,1319.254786934331,0
1.811822e-04,7.522954e-04,1321.0066142888168,0
1.824230e-04,7.544405e-04,1322.7584416433026,0
1.836637e-04,7.565857e-04,1324.5102689977884,0
1.849045e-04,7.587308e-04,1326.262096352274,0
1.861452e-04,7.608759e-04,1328.0139237067601,0
1.873860e-04,7.630211e-04,1329.7657510612462,0
1.886481e-04,7.651683e-04,1331.5175784157318,0
1.899120e-04,7.673158e-04,1333.2694057702176,0
1.911759e-04,7.694632e-04,1335.0212331247035,0
