# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=Already code => factor=1, pFactor=1.000000e+00, eFactor=1.000000e+00
# muB (code_units),pressure (code_units),epsilon,eos
1.043158e+03,2.352355e-04,0.0010803451603206412,v0.00d1.80
1.045335e+03,2.379905e-04,0.0010873775591182364,v0.00d1.80
1.047511e+03,2.407610e-04,0.0010944423627254512,v0.00d1.80
1.049687e+03,2.435316e-04,0.0011015071663326654,v0.00d1.80
1.051864e+03,2.463369e-04,0.001108644655310621,v0.00d1.80
1.054040e+03,2.491481e-04,0.0011157943366733468,v0.00d1.80
1.056216e+03,2.519633e-04,0.0011229526032064125,v0.00d1.80
1.058393e+03,2.548153e-04,0.001130188613226453,v0.00d1.80
1.060569e+03,2.576673e-04,0.001137424623246493,v0.00d1.80
1.062745e+03,2.605334e-04,0.0011446905771543084,v0.00d1.80
1.064922e+03,2.634266e-04,0.001152014004008016,v0.00d1.80
1.067098e+03,2.663198e-04,0.0011593374308617233,v0.00d1.80
1.069275e+03,2.692372e-04,0.0011667124769539079,v0.00d1.80
1.071451e+03,2.721717e-04,0.0011741240460921842,v0.00d1.80
1.073627e+03,2.751063e-04,0.0011815356152304606,v0.00d1.80
1.075804e+03,2.780754e-04,0.0011890217334669338,v0.00d1.80
1.077980e+03,2.810516e-04,0.0011965232585170343,v0.00d1.80
1.080156e+03,2.840308e-04,0.001204031270541082,v0.00d1.80
1.082333e+03,2.870489e-04,0.0012116231142284568,v0.00d1.80
1.084509e+03,2.900670e-04,0.0012192149579158319,v0.00d1.80
1.086685e+03,2.930984e-04,0.0012268358156312625,v0.00d1.80
1.088862e+03,2.961588e-04,0.0012345197915831665,v0.00d1.80
1.091038e+03,2.992191e-04,0.00124220376753507,v0.00d1.80
1.093214e+03,3.023031e-04,0.0012499393567134264,v0.00d1.80
1.095391e+03,3.054059e-04,0.00125771582765531,v0.00d1.80
1.097567e+03,3.085087e-04,0.001265492298597194,v0.00d1.80
1.099743e+03,3.116457e-04,0.0012733443206412827,v0.00d1.80
1.101920e+03,3.147913e-04,0.0012812151002004005,v0.00d1.80
1.104096e+03,3.179387e-04,0.0012890900801603203,v0.00d1.80
1.106273e+03,3.211273e-04,0.0012970558937875753,v0.00d1.80
1.108449e+03,3.243159e-04,0.00130502170741483,v0.00d1.80
1.110625e+03,3.275169e-04,0.0013130151362725452,v0.00d1.80
1.112802e+03,3.307488e-04,0.0013210770721442883,v0.00d1.80
1.114978e+03,3.339807e-04,0.0013291390080160316,v0.00d1.80
1.117154e+03,3.372358e-04,0.0013372526953907816,v0.00d1.80
1.119331e+03,3.405113e-04,0.001345412204408818,v0.00d1.80
1.121507e+03,3.437867e-04,0.0013535717134268536,v0.00d1.80
1.123683e+03,3.470962e-04,0.0013618072545090178,v0.00d1.80
1.125860e+03,3.504156e-04,0.001370065062124248,v0.00d1.80
1.128036e+03,3.537358e-04,0.001378324517034068,v0.00d1.80
1.130212e+03,3.570993e-04,0.0013866817114228456,v0.00d1.80
1.132389e+03,3.604629e-04,0.0013950389058116231,v0.00d1.80
1.134565e+03,3.638381e-04,0.0014034222845691379,v0.00d1.80
1.136741e+03,3.672461e-04,0.001411880316633266,v0.00d1.80
1.138918e+03,3.706542e-04,0.0014203383486973945,v0.00d1.80
1.141094e+03,3.740848e-04,0.0014288476252505011,v0.00d1.80
1.143271e+03,3.775376e-04,0.0014374075831663324,v0.00d1.80
1.145447e+03,3.809905e-04,0.001445967541082164,v0.00d1.80
1.147623e+03,3.844770e-04,0.0014546040621242484,v0.00d1.80
1.149800e+03,3.879749e-04,0.001463266671342685,v0.00d1.80
1.151976e+03,3.914728e-04,0.0014719292805611226,v0.00d1.80
1.154152e+03,3.950157e-04,0.0014806948416833667,v0.00d1.80
1.156329e+03,3.985591e-04,0.001489461553106212,v0.00d1.80
1.158505e+03,4.021130e-04,0.0014982526733466933,v0.00d1.80
1.160681e+03,4.057020e-04,0.0015071245751503012,v0.00d1.80
1.162858e+03,4.092911e-04,0.001515996476953908,v0.00d1.80
1.165034e+03,4.129019e-04,0.0015249188757515029,v0.00d1.80
1.167210e+03,4.165370e-04,0.0015338970561122238,v0.00d1.80
1.169387e+03,4.201720e-04,0.0015428752364729456,v0.00d1.80
1.171563e+03,4.238403e-04,0.0015519302705410824,v0.00d1.80
1.173739e+03,4.275216e-04,0.0015610154549098195,v0.00d1.80
1.175916e+03,4.312029e-04,0.0015701006392785568,v0.00d1.80
1.178092e+03,4.349291e-04,0.0015792904328657308,v0.00d1.80
1.180269e+03,4.386571e-04,0.0015884844348697392,v0.00d1.80
1.182445e+03,4.423947e-04,0.0015977008296593185,v0.00d1.80
1.184621e+03,4.461696e-04,0.0016070043747494988,v0.00d1.80
1.186798e+03,4.499445e-04,0.001616307919839679,v0.00d1.80
1.188974e+03,4.537406e-04,0.0016256609739478958,v0.00d1.80
1.191150e+03,4.575628e-04,0.001635075150300601,v0.00d1.80
1.193327e+03,4.613849e-04,0.0016444893266533067,v0.00d1.80
1.195503e+03,4.652400e-04,0.0016539809078156313,v0.00d1.80
1.197679e+03,4.691098e-04,0.0016635071663326647,v0.00d1.80
1.199856e+03,4.729795e-04,0.0016730334248496992,v0.00d1.80
1.202032e+03,4.768941e-04,0.001682665350701403,v0.00d1.80
1.204208e+03,4.808117e-04,0.0016923047795591184,v0.00d1.80
1.206385e+03,4.847380e-04,0.0017019643446893786,v0.00d1.80
1.208561e+03,4.887039e-04,0.001711717669338677,v0.00d1.80
1.210737e+03,4.926698e-04,0.0017214709939879756,v0.00d1.80
1.212914e+03,4.966561e-04,0.0017312727515030062,v0.00d1.80
1.215090e+03,5.006706e-04,0.0017411414228456915,v0.00d1.80
1.217267e+03,5.046851e-04,0.0017510100941883762,v0.00d1.80
1.219443e+03,5.087321e-04,0.001760955959919839,v0.00d1.80
1.221619e+03,5.127955e-04,0.0017709410661322642,v0.00d1.80
1.223796e+03,5.168589e-04,0.0017809261723446895,v0.00d1.80
1.225972e+03,5.209669e-04,0.0017910180921843686,v0.00d1.80
1.228148e+03,5.250795e-04,0.0018011210841683363,v0.00d1.80
1.230325e+03,5.291996e-04,0.0018112417154308614,v0.00d1.80
1.232501e+03,5.333618e-04,0.0018214629559118233,v0.00d1.80
1.234677e+03,5.375240e-04,0.0018316841963927856,v0.00d1.80
1.236854e+03,5.417058e-04,0.0018419526753507011,v0.00d1.80
1.239030e+03,5.459179e-04,0.0018522943406813625,v0.00d1.80
1.241206e+03,5.501300e-04,0.001862636006012024,v0.00d1.80
1.243383e+03,5.543740e-04,0.0018730544148296599,v0.00d1.80
1.245559e+03,5.586364e-04,0.001883516867735471,v0.00d1.80
1.247735e+03,5.628987e-04,0.0018939793206412823,v0.00d1.80
1.249912e+03,5.672055e-04,0.001904549472945891,v0.00d1.80
1.252088e+03,5.715185e-04,0.001915134527054108,v0.00d1.80
1.254265e+03,5.758376e-04,0.0019257345711422849,v0.00d1.80
1.256441e+03,5.802015e-04,0.0019364429519038075,v0.00d1.80
1.258617e+03,5.845654e-04,0.0019471513326653302,v0.00d1.80
1.260794e+03,5.889481e-04,0.0019579050801603196,v0.00d1.80
