# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=Already code => factor=1, pFactor=1.000000e+00, eFactor=1.000000e+00
# pressure (code_units),epsilon (code_units),muB
3.547965e-04,2.444574e-03,1357.064510399109
3.609187e-04,2.464394e-03,1360.0187425632143
3.670698e-04,2.484270e-03,1362.972974727319
3.732797e-04,2.504259e-03,1365.9272068914242
3.795158e-04,2.524300e-03,1368.8814390555294
3.858136e-04,2.544462e-03,1371.8356712196346
3.921352e-04,2.564669e-03,1374.7899033837398
3.985215e-04,2.585004e-03,1377.7441355478445
4.049289e-04,2.605381e-03,1380.69836771195
4.114040e-04,2.625893e-03,1383.6525998760549
4.178974e-04,2.646441e-03,1386.60683204016
4.244617e-04,2.667132e-03,1389.5610642042652
4.310416e-04,2.687854e-03,1392.5152963683702
4.376955e-04,2.708725e-03,1395.4695285324754
4.443623e-04,2.729623e-03,1398.4237606965805
4.511061e-04,2.750679e-03,1401.3779928606855
4.578602e-04,2.771755e-03,1404.3322250247907
4.646944e-04,2.792996e-03,1407.2864571888958
4.715360e-04,2.814252e-03,1410.2406893530008
4.784610e-04,2.835681e-03,1413.1949215171062
4.853905e-04,2.857120e-03,1416.149153681211
4.924068e-04,2.878739e-03,1419.103385845316
4.994248e-04,2.900362e-03,1422.0576180094213
5.065327e-04,2.922175e-03,1425.0118501735265
5.136405e-04,2.943988e-03,1427.9660823376316
5.208393e-04,2.965993e-03,1430.9203145017364
5.280392e-04,2.988000e-03,1433.8745466658418
5.353276e-04,3.010197e-03,1436.8287788299467
5.426201e-04,3.032402e-03,1439.783010994052
5.499985e-04,3.054792e-03,1442.737243158157
5.573838e-04,3.077197e-03,1445.691475322262
5.648528e-04,3.099783e-03,1448.6457074863672
5.723315e-04,3.122390e-03,1451.5999396504724
5.798914e-04,3.145173e-03,1454.5541718145773
5.874639e-04,3.167984e-03,1457.5084039786825
5.951151e-04,3.190967e-03,1460.4626361427877
6.027819e-04,3.213985e-03,1463.4168683068926
6.105248e-04,3.237170e-03,1466.371100470998
6.182864e-04,3.260397e-03,1469.3253326351028
6.261215e-04,3.283786e-03,1472.279564799208
6.339784e-04,3.307224e-03,1475.2337969633131
6.419061e-04,3.330820e-03,1478.1880291274183
6.498586e-04,3.354470e-03,1481.1422612915235
6.578794e-04,3.378274e-03,1484.0964934556282
6.659281e-04,3.402141e-03,1487.0507256197336
6.740425e-04,3.426156e-03,1490.0049577838386
6.821879e-04,3.450241e-03,1492.9591899479437
6.903962e-04,3.474468e-03,1495.913422112049
6.986388e-04,3.498772e-03,1498.8676542761539
7.069416e-04,3.523214e-03,1501.821886440259
7.152818e-04,3.547742e-03,1504.7761186043642
7.236795e-04,3.572400e-03,1507.7303507684692
7.321180e-04,3.597152e-03,1510.6845829325744
7.406111e-04,3.622030e-03,1513.6388150966795
7.491481e-04,3.647009e-03,1516.5930472607845
7.577371e-04,3.672108e-03,1519.54727942489
7.663734e-04,3.697316e-03,1522.5015115889946
7.750588e-04,3.722637e-03,1525.4557437530998
7.837947e-04,3.748076e-03,1528.409975917205
7.925770e-04,3.773623e-03,1531.3642080813102
8.014132e-04,3.799297e-03,1534.3184402454153
8.102928e-04,3.825071e-03,1537.27267240952
8.192297e-04,3.850980e-03,1540.2269045736255
8.282071e-04,3.876984e-03,1543.1811367377304
