p_c,R,M,e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
1.365197e-05,3.440000e+00,8.128361e-02,7.395511e-04,2.504752e+00,3.623057e+02,0.000000e+00,2.583746e-01,1.000000e+00
1.400985e-05,3.475000e+00,8.392067e-02,7.410135e-04,2.509889e+00,3.625032e+02,0.000000e+00,2.593451e-01,1.000000e+00
1.437712e-05,3.515000e+00,8.691992e-02,7.425142e-04,2.515161e+00,3.627060e+02,0.000000e+00,2.603409e-01,1.000000e+00
1.475401e-05,3.550000e+00,8.962276e-02,7.440542e-04,2.520571e+00,3.629141e+02,0.000000e+00,2.613629e-01,1.000000e+00
1.514079e-05,3.590000e+00,9.276331e-02,7.456345e-04,2.526123e+00,3.631276e+02,0.000000e+00,2.624117e-01,1.000000e+00
1.553770e-05,3.630000e+00,9.591592e-02,7.472564e-04,2.531820e+00,3.633467e+02,0.000000e+00,2.634879e-01,1.000000e+00
1.594503e-05,3.665000e+00,9.888028e-02,7.489207e-04,2.537667e+00,3.635716e+02,0.000000e+00,2.645924e-01,1.000000e+00
1.636302e-05,3.705000e+00,1.022456e-01,7.506286e-04,2.543667e+00,3.638024e+02,0.000000e+00,2.657258e-01,1.000000e+00
1.679198e-05,3.745000e+00,1.056911e-01,7.523693e-04,2.549786e+00,3.640384e+02,0.000000e+00,2.668927e-01,1.000000e+00
1.723218e-05,3.785000e+00,1.092183e-01,7.540931e-04,2.555872e+00,3.642768e+02,0.000000e+00,2.681095e-01,1.000000e+00
1.768392e-05,3.825000e+00,1.128283e-01,7.558620e-04,2.562117e+00,3.645214e+02,0.000000e+00,2.693582e-01,1.000000e+00
1.814750e-05,3.865000e+00,1.165225e-01,7.576774e-04,2.568526e+00,3.647725e+02,0.000000e+00,2.706396e-01,1.000000e+00
1.862324e-05,3.905000e+00,1.203023e-01,7.595403e-04,2.575103e+00,3.650301e+02,0.000000e+00,2.719546e-01,1.000000e+00
1.911145e-05,3.945000e+00,1.241691e-01,7.614521e-04,2.581853e+00,3.652944e+02,0.000000e+00,2.733041e-01,1.000000e+00
1.961245e-05,3.985000e+00,1.281242e-01,7.634140e-04,2.588779e+00,3.655657e+02,0.000000e+00,2.746890e-01,1.000000e+00
2.012659e-05,4.025000e+00,1.321692e-01,7.654273e-04,2.595887e+00,3.658441e+02,0.000000e+00,2.761101e-01,1.000000e+00
2.065421e-05,4.065000e+00,1.363055e-01,7.674770e-04,2.603140e+00,3.661273e+02,0.000000e+00,2.771300e-01,1.000000e+00
