p_c,R,M,e(pc),col2(pc)
5.557610e-11,3.000000e+01,2.955635e-03,3.951124e-08,9.304818e+02
6.106498e-11,3.000000e+01,3.168312e-03,4.242754e-08,9.305407e+02
6.709597e-11,3.000000e+01,3.401148e-03,4.563187e-08,9.306054e+02
7.372260e-11,3.000000e+01,3.655964e-03,4.915267e-08,9.306765e+02
8.100370e-11,3.000000e+01,3.934727e-03,5.302120e-08,9.307546e+02
8.900391e-11,3.000000e+01,4.239559e-03,5.727180e-08,9.308404e+02
9.779424e-11,3.000000e+01,4.572745e-03,6.194220e-08,9.309347e+02
1.074527e-10,3.000000e+01,4.936739e-03,6.707386e-08,9.310383e+02
1.180651e-10,3.000000e+01,5.334168e-03,7.271235e-08,9.311522e+02
1.297257e-10,3.000000e+01,5.767843e-03,7.890771e-08,9.312773e+02
1.425378e-10,3.000000e+01,6.240758e-03,8.571495e-08,9.314148e+02
1.566153e-10,3.000000e+01,6.756092e-03,9.319449e-08,9.315658e+02
1.720832e-10,3.000000e+01,7.317209e-03,1.014127e-07,9.317318e+02
1.890788e-10,3.000000e+01,7.927655e-03,1.104427e-07,9.319141e+02
2.077528e-10,3.000000e+01,8.591187e-03,1.202473e-07,9.321069e+02
2.282712e-10,3.000000e+01,9.287040e-03,1.292415e-07,9.322035e+02
2.508161e-10,3.000000e+01,9.961511e-03,1.391241e-07,9.323097e+02
2.755875e-10,3.000000e+01,1.068435e-02,1.499826e-07,9.324264e+02
3.028055e-10,3.000000e+01,1.147011e-02,1.619136e-07,9.325547e+02
3.327116e-10,3.000000e+01,1.232340e-02,1.750229e-07,9.326955e+02
3.655714e-10,3.000000e+01,1.324903e-02,1.894270e-07,9.328503e+02
4.016765e-10,3.000000e+01,1.425193e-02,2.052536e-07,9.330204e+02
4.413474e-10,3.000000e+01,1.533716e-02,2.226433e-07,9.332073e+02
4.849364e-10,3.000000e+01,1.650982e-02,2.417505e-07,9.334127e+02
5.328304e-10,3.000000e+01,1.777504e-02,2.627448e-07,9.336383e+02
5.854546e-10,3.000000e+01,1.913415e-02,2.903609e-07,9.338605e+02
6.432761e-10,3.000000e+01,2.054861e-02,3.527612e-07,9.339239e+02
7.068083e-10,3.000000e+01,2.219207e-02,4.213243e-07,9.339934e+02
7.766151e-10,3.000000e+01,2.402593e-02,4.966590e-07,9.340699e+02
8.533163e-10,3.000000e+01,2.596010e-02,5.794340e-07,9.341539e+02
9.375928e-10,3.000000e+01,2.792026e-02,6.703841e-07,9.342462e+02
1.030193e-09,3.000000e+01,2.985328e-02,7.703167e-07,9.343476e+02
1.131938e-09,3.000000e+01,3.172300e-02,8.801191e-07,9.344590e+02
1.243732e-09,3.000000e+01,3.350560e-02,1.000766e-06,9.345815e+02
1.366567e-09,3.000000e+01,3.518599e-02,1.133328e-06,9.347160e+02
1.501534e-09,3.000000e+01,3.675518e-02,1.278983e-06,9.348638e+02
1.649831e-09,3.000000e+01,3.820845e-02,1.439023e-06,9.350262e+02
1.812774e-09,3.000000e+01,3.954416e-02,1.614869e-06,9.352047e+02
1.991810e-09,3.000000e+01,4.076279e-02,1.808082e-06,9.354008e+02
2.188528e-09,3.000000e+01,4.186647e-02,2.019120e-06,9.356113e+02
2.404675e-09,3.000000e+01,4.288722e-02,2.226742e-06,9.357472e+02
2.642169e-09,3.000000e+01,4.384571e-02,2.454870e-06,9.358965e+02
2.903118e-09,3.000000e+01,4.473563e-02,2.705528e-06,9.360606e+02
3.189840e-09,3.000000e+01,4.555243e-02,2.980943e-06,9.362409e+02
3.504880e-09,3.000000e+01,4.629337e-02,3.283558e-06,9.364390e+02
3.851034e-09,3.000000e+01,4.695718e-02,3.616061e-06,9.366567e+02
4.231376e-09,3.000000e+01,4.754385e-02,3.981402e-06,9.368958e+02
4.649281e-09,3.000000e+01,4.805430e-02,4.382826e-06,9.371586e+02
5.108460e-09,3.000000e+01,4.849026e-02,4.823897e-06,9.374474e+02
5.612989e-09,3.000000e+01,4.885407e-02,5.308528e-06,9.377646e+02
6.167347e-09,3.000000e+01,4.914850e-02,5.841024e-06,9.381132e+02
6.776456e-09,3.000000e+01,4.937673e-02,6.426111e-06,9.384962e+02
7.445722e-09,3.000000e+01,4.954216e-02,7.068983e-06,9.389171e+02
8.181087e-09,3.000000e+01,4.964840e-02,7.775349e-06,9.393795e+02
8.989080e-09,3.000000e+01,4.969916e-02,8.551478e-06,9.398876e+02
9.876872e-09,3.000000e+01,4.969822e-02,9.404260e-06,9.404459e+02
1.085235e-08,3.000000e+01,4.964959e-02,1.027466e-05,9.409526e+02
1.192416e-08,3.000000e+01,4.956594e-02,1.107883e-05,9.412658e+02
1.310183e-08,3.000000e+01,4.945965e-02,1.196242e-05,9.416099e+02
1.439582e-08,3.000000e+01,4.933473e-02,1.293328e-05,9.419880e+02
1.581760e-08,3.000000e+01,4.919264e-02,1.400002e-05,9.424035e+02
1.737980e-08,3.000000e+01,4.903330e-02,1.489141e-05,9.426428e+02
1.909629e-08,3.000000e+01,4.886783e-02,1.561168e-05,9.427052e+02
2.098230e-08,3.000000e+01,4.871625e-02,1.640310e-05,9.427738e+02
2.305458e-08,3.000000e+01,4.858957e-02,1.727267e-05,9.428491e+02
2.533154e-08,3.000000e+01,4.849379e-02,1.822813e-05,9.429319e+02
2.783337e-08,3.000000e+01,4.843142e-02,1.927795e-05,9.430229e+02
3.058228e-08,3.000000e+01,4.840220e-02,2.043146e-05,9.431229e+02
3.360270e-08,3.000000e+01,4.840374e-02,2.169889e-05,9.432327e+02
3.692142e-08,3.000000e+01,4.843203e-02,2.309150e-05,9.433534e+02
4.056790e-08,3.000000e+01,4.848192e-02,2.462164e-05,9.434860e+02
4.457453e-08,3.000000e+01,4.854756e-02,2.630291e-05,9.436317e+02
4.897686e-08,3.000000e+01,4.862276e-02,2.815023e-05,9.437918e+02
5.381399e-08,3.000000e+01,4.870133e-02,3.017999e-05,9.439677e+02
5.912884e-08,3.000000e+01,4.877731e-02,3.241022e-05,9.441610e+02
6.496861e-08,3.000000e+01,4.884514e-02,3.480053e-05,9.443697e+02
7.138514e-08,3.000000e+01,4.892241e-02,3.603799e-05,9.445148e+02
7.843538e-08,3.000000e+01,4.905009e-02,3.739767e-05,9.446743e+02
8.618193e-08,3.000000e+01,4.924865e-02,3.889164e-05,9.448494e+02
9.469355e-08,3.000000e+01,4.953102e-02,4.053316e-05,9.450419e+02
1.040458e-07,3.000000e+01,4.990487e-02,4.233680e-05,9.452534e+02
1.143217e-07,3.000000e+01,5.037331e-02,4.431857e-05,9.454857e+02
1.256126e-07,3.000000e+01,5.092917e-02,4.649607e-05,9.457411e+02
1.380185e-07,3.000000e+01,5.155946e-02,4.888862e-05,9.460216e+02
1.516497e-07,3.000000e+01,5.227555e-02,5.086074e-05,9.462747e+02
1.666271e-07,3.000000e+01,5.313433e-02,5.271120e-05,9.465263e+02
1.830838e-07,3.000000e+01,5.415643e-02,5.474441e-05,9.468028e+02
2.011658e-07,3.000000e+01,5.535165e-02,5.697844e-05,9.471065e+02
2.210336e-07,3.000000e+01,5.672343e-02,5.943310e-05,9.474403e+02
2.428636e-07,3.000000e+01,5.826911e-02,6.213019e-05,9.478070e+02
2.668497e-07,3.000000e+01,6.001338e-02,6.442412e-05,9.481464e+02
2.932047e-07,3.000000e+01,6.201706e-02,6.681497e-05,9.485070e+02
3.221626e-07,3.000000e+01,6.428521e-02,6.944194e-05,9.489033e+02
3.539805e-07,3.000000e+01,6.680966e-02,7.232836e-05,9.493386e+02
