# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=CGS => separate p/e => code, pFactor=8.262445e-40, eFactor=7.425915e-19
# 9.493355079931099e22 (code_units),1.e-9 (code_units),1.6588109116744015e6
3.949604e-11,1.975832e-23,4.431047184575437e10
4.253177e-11,2.092907e-23,4.6939388606501854e10
4.581594e-11,2.216920e-23,4.972433680292033e10
4.935444e-11,2.348281e-23,5.267453591820546e10
5.318699e-11,2.487425e-23,5.579989518755674e10
5.731267e-11,2.634814e-23,5.9110715458262566e10
6.176417e-11,2.790937e-23,6.261806385815737e10
6.657941e-11,2.956310e-23,6.633367730627986e10
7.174297e-11,3.131483e-23,7.026973042207849e10
7.732454e-11,3.317035e-23,7.443951835911862e10
8.334005e-11,3.513581e-23,7.885685681546455e10
8.980259e-11,3.721774e-23,8.353636602291017e10
9.678124e-11,3.942303e-23,8.849379103587302e10
1.042714e-10,4.175899e-23,9.374545612170232e10
1.123264e-10,4.423337e-23,9.930893237338214e10
1.210036e-10,4.685436e-23,1.0520285599592418e11
1.302567e-10,4.963065e-23,1.1144649923857509e11
1.401710e-10,5.257146e-23,1.180609897776039e11
1.507010e-10,5.568651e-23,1.2506821290351602e11
1.616880e-10,5.898614e-23,1.3249129335754875e11
1.665413e-10,6.248129e-23,1.4035462335785733e11
1.781158e-10,6.618354e-23,1.4868508539235117e11
1.911825e-10,7.010516e-23,1.575101216416016e11
2.054086e-10,7.425915e-23,1.6685935724825687e11
2.206307e-10,7.865929e-23,1.7676334817830206e11
2.369170e-10,8.332014e-23,1.8725568352689453e11
2.542859e-10,8.825717e-23,1.983711089638839e11
2.727828e-10,9.348674e-23,2.101463784586437e11
2.925433e-10,9.902617e-23,2.226212107233709e11
3.136420e-10,1.048938e-22,2.3583661972928827e11
3.363431e-10,1.111092e-22,2.4983690531629892e11
3.608742e-10,1.176928e-22,2.646690591897425e11
3.871573e-10,1.246666e-22,2.8038145392200433e11
4.155130e-10,1.320535e-22,2.970274772397952e11
4.460319e-10,1.398782e-22,3.146622414957285e11
4.786726e-10,1.481665e-22,3.333440445292445e11
5.134960e-10,1.569459e-22,3.5313599245537213e11
5.499623e-10,1.662455e-22,3.7410301206172314e11
5.869572e-10,1.760962e-22,3.963153017960658e11
6.139868e-10,1.865306e-22,4.198476659761859e11
6.441165e-10,1.975832e-22,4.447769039863265e11
6.734802e-10,2.092907e-22,4.7118647042441986e11
6.972323e-10,2.216920e-22,4.9916271057117267e11
7.199464e-10,2.348281e-22,5.287975408545019e11
7.416150e-10,2.487425e-22,5.60190556294619e11
7.634105e-10,2.634814e-22,5.934444894592788e11
7.855212e-10,2.790937e-22,6.286704112109233e11
8.079561e-10,2.956310e-22,6.659860056969708e11
8.317779e-10,3.131483e-22,7.055128815886259e11
8.557651e-10,3.317035e-22,7.473845573836687e11
8.790300e-10,3.513581e-22,7.917391424049554e11
9.025435e-10,3.721774e-22,8.387226643398724e11
9.292423e-10,3.942303e-22,8.884928902642477e11
9.604268e-10,4.175899e-22,9.412137634174382e11
9.943530e-10,4.423337e-22,9.970612505159475e11
1.030431e-09,4.685436e-22,1.0562216765644595e12
1.069733e-09,4.963065e-22,1.1188887074531824e12
1.111568e-09,5.257146e-22,1.1852732484166296e12
1.156516e-09,5.568651e-22,1.2555948339987932e12
1.205140e-09,5.898614e-22,1.3300859662871726e12
1.257167e-09,6.248129e-22,1.408996150463002e12
1.313494e-09,6.618354e-22,1.4925853136331335e12
1.374175e-09,7.010516e-22,1.5811321857845618e12
1.439349e-09,7.425915e-22,1.6749321451104048e12
1.510152e-09,7.865929e-22,1.7742930497454473e12
1.586279e-09,8.332014e-22,1.879548747871374e12
1.668440e-09,8.825717e-22,1.991047683349434e12
1.757207e-09,9.348674e-22,2.109158837930895e12
1.852561e-09,9.902617e-22,2.2342776032562188e12
1.954657e-09,1.048938e-21,2.366816653038281e12
2.063422e-09,1.111092e-21,2.5072176618620854e12
2.180219e-09,1.176928e-21,2.6559488688928506e12
2.308725e-09,1.246666e-21,2.8134987646982705e12
2.448673e-09,1.320535e-21,2.980397005884346e12
2.600695e-09,1.398782e-21,3.1571965158730127e12
2.764984e-09,1.481665e-21,3.344482648412227e12
2.942538e-09,1.569459e-21,3.5428824669845205e12
3.134074e-09,1.662455e-21,3.753050640208668e12
3.340790e-09,1.760962e-21,3.9756881776373784e12
3.564237e-09,1.865306e-21,4.211538266544628e12
3.804592e-09,1.975832e-21,4.461375924630856e12
4.064255e-09,2.092907e-21,4.726040929697814e12
4.344334e-09,2.216920e-21,5.006410278203348e12
4.645710e-09,2.348281e-21,5.303412288730523e12
4.971324e-09,2.487425e-21,5.618042350951112e12
5.321433e-09,2.634814e-21,5.951338443161582e12
5.698584e-09,2.790937e-21,6.304412989974764e12
6.105928e-09,2.956310e-21,6.678445621107524e12
6.542286e-09,3.131483e-21,7.074664300912198e12
7.013414e-09,3.317035e-21,7.494403079279861e12
7.520632e-09,3.513581e-21,7.939052804048618e12
8.064916e-09,3.721774e-21,8.410085397774738e12
8.652307e-09,3.942303e-21,8.909081830569723e12
9.282381e-09,4.175899e-21,9.43768709835914e12
9.960292e-09,4.423337e-21,9.997667185215441e12
1.069205e-08,4.685436e-21,1.059089515106305e13
1.147500e-08,4.963065e-21,1.1219315501739494e13
1.232032e-08,5.257146e-21,1.1885048968919496e13
1.323030e-08,5.568651e-21,1.259030115324026e13
1.420763e-08,5.898614e-21,1.3337406068315684e13
1.526334e-08,6.248129e-21,1.4128875926732166e13
1.639849e-08,6.618354e-21,1.4967317648926352e13
1.762366e-08,7.010516e-21,1.5855535848055033e13
1.894956e-08,7.425915e-21,1.6796505253700209e13
2.037872e-08,7.865929e-21,1.7793306316310117e13
2.192983e-08,8.332014e-21,1.8849311789879793e13
2.361237e-08,8.825717e-21,1.9968021055592746e13
2.544109e-08,9.348674e-21,2.115313864482908e13
2.743447e-08,9.902617e-21,2.2408657641009297e13
2.961144e-08,1.048938e-20,2.3738715020193715e13
3.199736e-08,1.111092e-20,2.5147768540161086e13
3.461309e-08,1.176928e-20,2.664054430829707e13
3.750539e-08,1.246666e-20,2.8221937572785758e13
4.069765e-08,1.320535e-20,2.989731086972033e13
4.423545e-08,1.398782e-20,3.1672227418591723e13
4.818921e-08,1.481665e-20,3.3552585315476766e13
5.258718e-08,1.569459e-20,3.5544731158694336e13
5.753670e-08,1.662455e-20,3.7655260606647164e13
6.310799e-08,1.760962e-20,3.9891271882547945e13
6.935292e-08,1.865306e-20,4.226028067970661e13
7.650764e-08,1.975832e-20,4.477013577714584e13
8.458295e-08,2.092907e-20,4.742935195965816e13
9.376523e-08,2.216920e-20,5.024682238926376e13
1.043160e-07,2.348281e-20,5.323200664716428e13
1.154246e-07,2.487425e-20,5.6394969843462445e13
1.244297e-07,2.634814e-20,5.974625762987869e13
1.325049e-07,2.790937e-20,6.32964558790523e13
1.397122e-07,2.956310e-20,6.705761954370742e13
1.579838e-07,3.131483e-20,7.104300298069808e13
1.781801e-07,3.317035e-20,7.526594638239247e13
2.011364e-07,3.513581e-20,7.974079306918242e13
2.277249e-07,3.721774e-20,8.448285168820852e13
2.580402e-07,3.942303e-20,8.950803680883006e13
2.931298e-07,4.175899e-20,9.483369678935927e13
3.334410e-07,4.423337e-20,1.0047792379252517e14
3.794302e-07,4.685436e-20,1.0645978603413306e14
4.329722e-07,4.963065e-20,1.128005026672888e14
4.941628e-07,5.257146e-20,1.195212105380438e14
5.645437e-07,5.568651e-20,1.2664530899837472e14
6.462340e-07,5.898614e-20,1.341979402888273e14
7.399097e-07,6.248129e-20,1.4220456107841962e14
8.490792e-07,6.618354e-20,1.506941058285636e14
9.761549e-07,7.010516e-20,1.596960787314878e14
1.122640e-06,7.425915e-20,1.6924137842030138e14
1.298343e-06,7.865929e-20,1.793668461305734e14
1.503723e-06,8.332014e-20,1.9010628587652353e14
1.746693e-06,8.825717e-20,2.0149947431934384e14
2.042677e-06,9.348674e-20,2.135909997849027e14
2.392478e-06,9.902617e-20,2.2642198578512338e14
2.823282e-06,1.048938e-19,2.4004655192382512e14
3.350312e-06,1.111092e-19,2.545166897009939e14
3.978106e-06,1.176928e-19,2.6988338287505034e14
4.786958e-06,1.246666e-19,2.862301838755116e14
5.763802e-06,1.320535e-19,3.036082515375314e14
6.965207e-06,1.398782e-19,3.220991617377862e14
8.488775e-06,1.481665e-19,3.4180796121430344e14
1.032449e-05,1.569459e-19,3.6279776836417806e14
1.263620e-05,1.662455e-19,3.852134511307402e14
1.548191e-05,1.760962e-19,4.091627917147525e14
1.888959e-05,1.865306e-19,4.347355922951438e14
2.321293e-05,1.975832e-19,4.622114542873155e14
2.836888e-05,2.092907e-19,4.9163959965855156e14
3.459580e-05,2.216920e-19,5.2324945130116975e14
4.218539e-05,2.348281e-19,5.5735156557155944e14
5.113301e-05,2.487425e-19,5.940338770588184e14
6.188962e-05,2.634814e-19,6.337573702511399e14
7.458446e-05,2.790937e-19,6.767611118719732e14
8.939403e-05,2.956310e-19,7.232492955666856e14
1.069397e-04,3.131483e-19,7.740611847948374e14
1.272185e-04,3.317035e-19,8.292090999617975e14
1.507243e-04,3.513581e-19,8.893389791184422e14
1.778916e-04,3.721774e-19,9.552297993313345e14
2.090298e-04,3.942303e-19,1.0270975316321562e15
2.447326e-04,4.175899e-19,1.1060940045650548e15
2.854350e-04,4.423337e-19,1.1927823159361252e15
3.317752e-04,4.685436e-19,1.2877668033749712e15
3.843030e-04,4.963065e-19,1.3928527438370498e15
4.438118e-04,5.257146e-19,1.5082899705124055e15
5.110951e-04,5.568651e-19,1.6355865524299832e15
5.868819e-04,5.898614e-19,1.7763976594885932e15
6.724223e-04,6.248129e-19,1.9316055383856362e15
7.685321e-04,6.618354e-19,2.1035532939391262e15
8.765777e-04,7.010516e-19,2.2937621936781525e15
9.981995e-04,7.425915e-19,2.504009847957726e15
1.134234e-03,7.865929e-19,2.7376339414442325e15
1.287145e-03,8.332014e-19,2.996202833481827e15
1.458645e-03,8.825717e-19,3.282995191286062e15
1.650600e-03,9.348674e-19,3.601540058933748e15
1.866097e-03,9.902617e-19,3.9548088396326735e15
2.107202e-03,1.048938e-18,4.3475088054404125e15
2.377334e-03,1.111092e-18,4.783771785509322e15
2.680338e-03,1.176928e-18,5.268389877451892e15
3.018854e-03,1.246666e-18,5.807829221344139e15
3.398443e-03,1.320535e-18,6.407498229228743e15
3.823522e-03,1.398782e-18,7.074755316566026e15
4.299051e-03,1.481665e-18,7.817601796942784e15
4.832065e-03,1.569459e-18,8.644401620218445e15
5.428361e-03,1.662455e-18,9.565363304789548e15
6.096097e-03,1.760962e-18,1.059118508067524e16
6.844380e-03,1.865306e-18,1.1734103193651612e16
7.681074e-03,1.975832e-18,1.300801320992294e16
8.618678e-03,2.092907e-18,1.4428010245859278e16
9.668624e-03,2.216920e-18,1.6011366046999076e16
1.084378e-02,2.348281e-18,1.7777073653722308e16
1.216059e-02,2.487425e-18,1.9746815683883204e16
1.363461e-02,2.634814e-18,2.1944301010639084e16
1.528559e-02,2.790937e-18,2.439645098154754e16
1.713558e-02,2.956310e-18,2.71337893415205e16
1.920614e-02,3.131483e-18,3.0188689381506624e16
2.152644e-02,3.317035e-18,3.360002405555692e16
2.412566e-02,3.513581e-18,3.7409584141956584e16
2.703664e-02,3.721774e-18,4.166368315633074e16
3.029887e-02,3.942303e-18,4.6416687792598376e16
3.395282e-02,4.175899e-18,5.172600833608186e16
3.804689e-02,4.423337e-18,5.765861246956897e16
4.263532e-02,4.685436e-18,6.429006847989583e16
4.777458e-02,4.963065e-18,7.1699290309128376e16
5.353481e-02,5.257146e-18,7.998337402295842e16
5.998990e-02,5.568651e-18,8.92451763307283e16
6.722277e-02,5.898614e-18,9.959921232775432e16
7.533024e-02,6.248129e-18,1.1118026085966098e17
8.441544e-02,6.618354e-18,1.241302633701714e17
9.459835e-02,7.010516e-18,1.3861532349575832e17
1.060135e-01,7.425915e-18,1.548224193637782e17
