p_c,R(code units),M(Msun),e(pc),col2(pc)
2.951416e-08,3.000000e+01,4.840944e-02,1.998325e-05,9.430841e+02
3.234183e-08,3.000000e+01,4.839963e-02,2.116980e-05,9.431869e+02
3.544041e-08,3.000000e+01,4.841676e-02,2.247004e-05,9.432996e+02
3.883587e-08,3.000000e+01,4.845649e-02,2.389484e-05,9.434230e+02
4.255663e-08,3.000000e+01,4.851369e-02,2.545616e-05,9.435584e+02
4.663386e-08,3.000000e+01,4.858281e-02,2.716705e-05,9.437066e+02
5.110173e-08,3.000000e+01,4.865814e-02,2.904187e-05,9.438691e+02
5.599765e-08,3.000000e+01,4.873407e-02,3.109630e-05,9.440471e+02
6.136264e-08,3.000000e+01,4.880527e-02,3.334757e-05,9.442423e+02
6.724163e-08,3.000000e+01,4.886934e-02,3.523889e-05,9.444211e+02
7.368387e-08,3.000000e+01,4.895852e-02,3.648132e-05,9.445668e+02
8.074332e-08,3.000000e+01,4.910296e-02,3.784277e-05,9.447264e+02
8.847913e-08,3.000000e+01,4.931866e-02,3.933467e-05,9.449014e+02
9.695608e-08,3.000000e+01,4.961595e-02,4.096950e-05,9.450931e+02
1.062452e-07,3.000000e+01,5.000071e-02,4.276096e-05,9.453031e+02
1.164242e-07,3.000000e+01,5.047483e-02,4.472405e-05,9.455333e+02
1.275785e-07,3.000000e+01,5.102806e-02,4.687522e-05,9.457855e+02
1.398015e-07,3.000000e+01,5.165092e-02,4.923249e-05,9.460619e+02
1.531955e-07,3.000000e+01,5.236063e-02,5.105173e-05,9.463007e+02
1.678728e-07,3.000000e+01,5.320904e-02,5.286510e-05,9.465473e+02
1.839562e-07,3.000000e+01,5.421255e-02,5.485220e-05,9.468175e+02
2.015806e-07,3.000000e+01,5.537976e-02,5.702969e-05,9.471135e+02
2.208935e-07,3.000000e+01,5.671360e-02,5.941579e-05,9.474379e+02
2.420567e-07,3.000000e+01,5.821160e-02,6.203049e-05,9.477935e+02
2.652475e-07,3.000000e+01,5.989422e-02,6.427878e-05,9.481245e+02
2.906601e-07,3.000000e+01,6.182051e-02,6.658414e-05,9.484722e+02
3.185075e-07,3.000000e+01,6.399646e-02,6.911037e-05,9.488533e+02
3.490229e-07,3.000000e+01,6.641681e-02,7.187863e-05,9.492708e+02
3.824618e-07,3.000000e+01,6.905460e-02,7.477166e-05,9.497128e+02
4.191045e-07,3.000000e+01,7.196509e-02,7.745051e-05,9.501426e+02
4.592578e-07,3.000000e+01,7.517972e-02,8.038602e-05,9.506136e+02
5.032580e-07,3.000000e+01,7.869134e-02,8.360277e-05,9.511297e+02
5.514738e-07,3.000000e+01,8.249447e-02,8.680905e-05,9.516563e+02
6.043091e-07,3.000000e+01,8.663867e-02,9.006256e-05,9.522015e+02
6.622063e-07,3.000000e+01,9.112229e-02,9.362778e-05,9.527990e+02
7.256505e-07,3.000000e+01,9.593287e-02,9.728261e-05,9.534230e+02
7.951732e-07,3.000000e+01,1.011186e-01,1.010173e-04,9.540740e+02
8.713566e-07,3.000000e+01,1.066617e-01,1.051097e-04,9.547873e+02
9.548390e-07,3.000000e+01,1.125648e-01,1.091586e-04,9.555156e+02
1.046320e-06,3.000000e+01,1.188528e-01,1.135352e-04,9.563064e+02
1.146565e-06,3.000000e+01,1.255083e-01,1.179974e-04,9.571310e+02
1.256414e-06,3.000000e+01,1.325777e-01,1.226727e-04,9.580077e+02
1.376788e-06,3.000000e+01,1.400542e-01,1.273927e-04,9.589157e+02
1.508694e-06,3.000000e+01,1.480084e-01,1.322873e-04,9.598744e+02
1.653238e-06,2.781000e+01,1.564369e-01,1.373257e-04,9.608831e+02
1.811630e-06,2.559500e+01,1.653280e-01,1.462970e-04,9.619545e+02
1.985198e-06,2.457000e+01,1.700839e-01,1.986369e-04,9.628982e+02
2.175394e-06,2.426000e+01,1.709162e-01,2.418820e-04,9.639199e+02
2.383813e-06,2.401500e+01,1.709072e-01,2.511815e-04,9.650059e+02
2.612200e-06,2.368000e+01,1.710343e-01,2.597651e-04,9.661119e+02
2.862468e-06,2.323500e+01,1.714870e-01,2.682002e-04,9.672732e+02
3.136713e-06,2.268500e+01,1.723771e-01,2.763034e-04,9.684862e+02
3.437233e-06,2.204500e+01,1.737905e-01,2.851828e-04,9.698154e+02
3.766545e-06,2.133500e+01,1.757739e-01,2.946239e-04,9.712533e+02
4.127408e-06,2.057000e+01,1.783793e-01,3.039668e-04,9.727643e+02
4.522844e-06,1.977000e+01,1.817208e-01,3.124096e-04,9.743041e+02
4.956166e-06,1.895000e+01,1.858827e-01,3.216614e-04,9.759914e+02
5.431003e-06,1.814500e+01,1.908890e-01,3.316108e-04,9.778268e+02
